epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.4771,0.59543,0.60923,1.25345,0.77894,0.71939,0.76878,0.58582,0.7093,0.68665,1.49189,0.00022197,0.00022197,0.00022197
2,170.402,0.63237,0.62844,1.26584,0.70408,0.69354,0.7361,0.53542,0.75807,0.71432,1.49113,0.000443869,0.000443869,0.000443869
3,251.157,0.65432,0.67127,1.29578,0.75534,0.68086,0.73064,0.51811,0.79935,0.71036,1.59895,0.000664035,0.000664035,0.000664035
4,331.314,0.64943,0.66034,1.29169,0.76803,0.70409,0.76392,0.57351,0.75673,0.67493,1.52879,0.000661152,0.000661152,0.000661152
5,411.671,0.6412,0.63994,1.27481,0.78352,0.70943,0.7739,0.56521,0.75239,0.65874,1.51485,0.000656627,0.000656627,0.000656627
6,492.774,0.61241,0.61097,1.24835,0.76202,0.7309,0.76466,0.57451,0.73806,0.6712,1.51679,0.000650841,0.000650841,0.000650841
7,578.882,0.61094,0.58911,1.25026,0.76739,0.75893,0.7883,0.58772,0.69832,0.60769,1.41311,0.000643815,0.000643815,0.000643815
8,667.485,0.60233,0.56878,1.2336,0.79519,0.69848,0.77989,0.59119,0.70664,0.6191,1.46466,0.000635577,0.000635577,0.000635577
9,749.593,0.5899,0.55279,1.22576,0.75536,0.71833,0.7665,0.57019,0.69355,0.62999,1.42935,0.000626161,0.000626161,0.000626161
10,829.968,0.56419,0.52661,1.19757,0.75916,0.69399,0.75109,0.57352,0.7036,0.60366,1.41969,0.000615603,0.000615603,0.000615603
11,912.949,0.56713,0.52174,1.19946,0.78523,0.7821,0.81554,0.6238,0.68165,0.54218,1.40153,0.000603944,0.000603944,0.000603944
12,996.541,0.55143,0.50346,1.18353,0.77271,0.75832,0.79483,0.60866,0.6943,0.57096,1.44525,0.000591232,0.000591232,0.000591232
13,1077.01,0.53941,0.48588,1.17445,0.81972,0.73738,0.79352,0.61455,0.66346,0.56532,1.37295,0.000577515,0.000577515,0.000577515
14,1157.91,0.53195,0.47791,1.1631,0.77389,0.75667,0.78522,0.60156,0.65658,0.55563,1.37484,0.000562848,0.000562848,0.000562848
15,1238.99,0.53189,0.473,1.16515,0.81208,0.73972,0.80284,0.61914,0.66333,0.5532,1.38685,0.00054729,0.00054729,0.00054729
16,1321.52,0.51411,0.45748,1.14894,0.80459,0.74359,0.8043,0.61936,0.66988,0.52133,1.39742,0.000530901,0.000530901,0.000530901
