epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.3659,0.74537,1.48697,1.39207,0.6711,0.54295,0.6097,0.42142,0.76153,1.62652,1.46648,0.000221871,0.000221871,0.000221871
2,139.425,0.74282,0.95229,1.37112,0.68369,0.60295,0.64926,0.4486,0.7384,1.63256,1.45743,0.000443771,0.000443771,0.000443771
3,208.003,0.76856,0.92223,1.40254,0.68001,0.63009,0.6727,0.47091,0.76171,1.29887,1.51157,0.000663936,0.000663936,0.000663936
4,278.685,0.75374,0.86574,1.38846,0.7041,0.5885,0.68246,0.46825,0.75207,1.62636,1.49201,0.000661152,0.000661152,0.000661152
5,349.355,0.726,0.81753,1.36616,0.70643,0.6121,0.68969,0.49312,0.71126,0.95638,1.41299,0.000656627,0.000656627,0.000656627
6,421.353,0.69959,0.7529,1.33655,0.74454,0.65444,0.71108,0.5079,0.71424,1.14739,1.41524,0.000650841,0.000650841,0.000650841
7,491.818,0.68621,0.70927,1.31508,0.76561,0.71161,0.76769,0.56684,0.69576,1.00915,1.43106,0.000643815,0.000643815,0.000643815
8,562.787,0.66036,0.67352,1.29299,0.80484,0.70819,0.77233,0.56114,0.65318,0.66957,1.37287,0.000635577,0.000635577,0.000635577
9,634.58,0.64103,0.64537,1.26139,0.75742,0.67156,0.7334,0.53552,0.699,0.716,1.41536,0.000626161,0.000626161,0.000626161
10,705.918,0.62851,0.61755,1.2578,0.7223,0.75056,0.7848,0.57078,0.64333,0.91861,1.35832,0.000615603,0.000615603,0.000615603
11,776.777,0.61842,0.59872,1.25182,0.77653,0.7682,0.79207,0.58483,0.64139,0.61869,1.33062,0.000603944,0.000603944,0.000603944
12,860.571,0.60216,0.57723,1.23084,0.7123,0.76732,0.78156,0.58806,0.63117,0.59655,1.35582,0.000591232,0.000591232,0.000591232
13,951.732,0.58748,0.556,1.21206,0.79202,0.72981,0.80291,0.60377,0.6344,0.55894,1.35009,0.000577515,0.000577515,0.000577515
14,1028.95,0.57938,0.54974,1.20948,0.73014,0.76066,0.78908,0.606,0.63016,0.63822,1.33272,0.000562848,0.000562848,0.000562848
15,1121.46,0.56378,0.51927,1.19252,0.82842,0.72557,0.80828,0.60981,0.6225,0.5596,1.33558,0.00054729,0.00054729,0.00054729
16,1219.06,0.56595,0.52076,1.19675,0.80424,0.74092,0.80502,0.61351,0.63771,0.52635,1.35634,0.000530901,0.000530901,0.000530901
17,1317.3,0.54562,0.49675,1.17467,0.82305,0.71943,0.79616,0.61324,0.61883,0.60832,1.31808,0.000513746,0.000513746,0.000513746
18,1413.82,0.53491,0.48582,1.15867,0.8192,0.75177,0.81257,0.61246,0.60204,0.50574,1.30311,0.000495893,0.000495893,0.000495893
19,1491.61,0.52855,0.47622,1.16312,0.79739,0.7516,0.80992,0.62933,0.60701,0.47786,1.29554,0.000477412,0.000477412,0.000477412
20,1571.93,0.51477,0.46273,1.14936,0.76043,0.79151,0.81757,0.63403,0.60077,0.45021,1.30332,0.000458377,0.000458377,0.000458377
21,1651.15,0.50241,0.44929,1.1392,0.83645,0.74191,0.81358,0.61715,0.61882,0.52852,1.32456,0.000438862,0.000438862,0.000438862
22,1729.36,0.491,0.42799,1.12115,0.81169,0.75114,0.80563,0.61422,0.59701,0.50796,1.28875,0.000418944,0.000418944,0.000418944
23,1807.63,0.49355,0.42347,1.12492,0.84479,0.7628,0.82339,0.64194,0.58492,0.4695,1.2946,0.000398702,0.000398702,0.000398702
24,1886.31,0.48711,0.41938,1.12303,0.81847,0.76913,0.81916,0.62992,0.60573,0.47471,1.3396,0.000378216,0.000378216,0.000378216
25,1965.2,0.47178,0.40193,1.10286,0.84791,0.73975,0.81903,0.63427,0.57333,0.44201,1.26401,0.000357566,0.000357566,0.000357566
26,2045.11,0.46224,0.39968,1.10381,0.81392,0.75923,0.81879,0.62515,0.59512,0.46082,1.32629,0.000336835,0.000336835,0.000336835
27,2124.6,0.45694,0.38825,1.09415,0.78333,0.79917,0.82274,0.63796,0.56934,0.42376,1.28596,0.000316104,0.000316104,0.000316104
28,2200.89,0.45451,0.38206,1.08872,0.80255,0.76717,0.81623,0.63006,0.59156,0.47117,1.3097,0.000295454,0.000295454,0.000295454
29,2278.38,0.44029,0.37294,1.08124,0.81815,0.76166,0.81605,0.62587,0.56926,0.45581,1.27092,0.000274968,0.000274968,0.000274968
30,2357.85,0.43386,0.35851,1.07121,0.79233,0.79331,0.8195,0.6366,0.58039,0.44064,1.30209,0.000254726,0.000254726,0.000254726
31,2438.12,0.43056,0.36051,1.06941,0.81347,0.78768,0.82848,0.63955,0.58611,0.43047,1.298,0.000234808,0.000234808,0.000234808
32,2518.45,0.41697,0.35163,1.06197,0.8614,0.75748,0.83244,0.65171,0.56543,0.42963,1.32362,0.000215293,0.000215293,0.000215293
33,2599.27,0.41284,0.3379,1.05329,0.81954,0.78869,0.81201,0.63226,0.57776,0.46637,1.31532,0.000196258,0.000196258,0.000196258
34,2679.19,0.40165,0.32842,1.04713,0.80479,0.78598,0.81404,0.63274,0.56244,0.46919,1.27951,0.000177777,0.000177777,0.000177777
35,2758.92,0.39845,0.32519,1.04362,0.82973,0.7583,0.80917,0.62994,0.57715,0.42475,1.32127,0.000159924,0.000159924,0.000159924
36,2838.9,0.39967,0.32477,1.03613,0.80439,0.79165,0.82229,0.63751,0.56291,0.41051,1.28443,0.000142769,0.000142769,0.000142769
37,2918.97,0.38755,0.31418,1.03005,0.83559,0.74206,0.81854,0.64006,0.55974,0.44328,1.29545,0.00012638,0.00012638,0.00012638
38,2999.52,0.38236,0.30418,1.02738,0.82147,0.76903,0.82634,0.64312,0.56012,0.41716,1.28818,0.000110822,0.000110822,0.000110822
39,3079.94,0.37306,0.30204,1.01648,0.7881,0.80385,0.82336,0.64043,0.54432,0.41255,1.27098,9.61551e-05,9.61551e-05,9.61551e-05
40,3159.57,0.36861,0.29672,1.02011,0.80478,0.79126,0.82257,0.64578,0.55036,0.42762,1.26958,8.24385e-05,8.24385e-05,8.24385e-05
41,3241.15,0.36586,0.29792,1.01501,0.84246,0.76813,0.82352,0.64215,0.55535,0.42321,1.27856,6.97259e-05,6.97259e-05,6.97259e-05
42,3320.83,0.36111,0.29246,1.01328,0.81834,0.78585,0.8293,0.6468,0.55355,0.41956,1.28999,5.80675e-05,5.80675e-05,5.80675e-05
